 dmw idm ivc net ml theory
"Saskia Metzler" 2 0 0 0 0 0
"Saso Dzeroski" 4 0 0 0 7 0
"Sastri Kota" 0 0 0 1 0 0
"Sastry Isukapalli" 1 0 0 0 0 0
"Sastry Kompella" 0 0 0 18 0 0
"Sasu Tarkoma" 4 0 0 12 1 0
"Saswata Chakravarty" 0 1 0 0 0 0
"Saswata Pandit" 1 0 0 0 0 0
"Saswati Sarkar" 0 0 0 21 0 0
"Satadal Sengupta" 1 0 0 2 0 0
"Sateesh Addepalli" 0 0 0 1 0 0
"Sateesh Pedagadi" 0 0 1 0 0 0
"Sathappan Muthiah" 4 0 0 0 0 0
"Sathiya Kumaran Mani" 0 0 0 1 0 0
"Sathya N. Ravi" 0 0 5 0 1 0
"Sathya Narayanan Ravi" 0 0 0 0 1 0
"Sathyakama Sandilya" 2 0 0 0 0 0
"Sathyanarayanan N. Aakur" 0 0 1 0 0 0
"Satinder P. Singh" 0 1 0 0 39 0
"Satinder Singh" 1 0 0 0 13 0
"Satinder Singh (Baveja)" 0 0 0 0 1 0
"Satish Avadhanam" 1 0 0 0 0 0
"Satish Babu Korada" 0 0 0 1 0 0
"Satish Bhat" 1 0 0 0 0 0
"Satish Chikkagoudar" 1 0 0 0 0 0
"Satish K. Tripathi" 0 0 0 5 0 0
"Satish Kanugovi" 0 0 0 1 0 0
"Satish Kumar" 0 0 0 2 0 0
"Satish Narayanasamy" 0 0 0 1 0 0
"Satish Raghunath" 0 0 0 2 0 0
"Satish Rao" 0 0 0 2 3 26
"Satish Tadepalli" 1 0 0 0 0 0
"Satish V. Ukkusuri" 4 0 0 1 0 0
"Satomi Suzuki" 1 0 0 0 0 0
"Satoru Fujishige" 0 0 0 0 0 2
"Satoru Iwata 0001" 0 0 0 0 1 13
"Satoru Kobayashi" 0 0 0 1 0 0
"Satoru Kuhara" 0 0 0 0 0 1
"Satoru Miyano" 0 0 0 0 0 1
"Satoshi Fukumoto" 0 0 0 1 0 0
"Satoshi Hara 0001" 1 0 0 0 2 0
"Satoshi Iizuka" 0 0 4 0 0 0
"Satoshi Ikehata" 0 0 2 0 1 0
"Satoshi Kamei" 0 0 0 1 0 0
"Satoshi Kouno" 1 0 0 0 0 0
"Satoshi Kurihara" 4 0 0 0 0 0
"Satoshi Kuriki" 0 0 0 0 1 0
"Satoshi Matsuoka" 0 0 1 0 0 0
"Satoshi Morinaga" 6 0 0 0 0 0
"Satoshi Nakamura" 3 0 0 0 1 0
"Satoshi Nakamura 0001" 1 0 0 0 0 0
"Satoshi Nishimura" 1 0 0 0 0 0
"Satoshi Oyama" 4 0 0 0 0 0
"Satoshi Takano" 0 1 0 0 0 0
"Satoshi Tsutsui" 0 0 1 0 1 0
"Satoshi Uda" 0 0 0 1 0 0
"Satoshi Ueyama" 1 0 0 0 0 0
"Satoshi Yamauchi" 1 0 0 0 0 0
"Satoshi Yonemoto" 0 0 1 0 0 0
"Satrajit S. Ghosh" 0 0 0 0 1 0
"Satria Priambada" 1 0 0 0 0 0
"Sattam Alsubaiee" 0 2 0 0 0 0
"Sattar Hashemi" 4 0 0 0 0 0
"Sattar Vakili" 0 0 0 0 2 0
"Satwik Kottur" 0 0 2 0 2 0
"Satya Almasian" 2 0 0 0 0 0
"Satya Gautam Vadlamudi" 1 0 0 0 0 0
"Satya Krishna Gorti" 0 0 0 0 1 0
"Satya Ortiz-Gagne" 0 0 0 0 1 0
"Satya P. Mallick" 0 0 5 0 0 0
"Satya Pradeep Kanduri" 1 0 0 0 0 0
"Satya Prakash Ponnaluri" 0 0 0 1 0 0
"Satya Ranjan Mohanty" 0 0 0 2 0 0
"Satya Sanket Sahoo" 1 0 0 0 0 0
"Satyadev Nandakumar" 0 0 0 0 0 2
"Satyajayant Misra" 0 0 0 5 0 0
"Satyajeet Ahuja" 0 0 0 1 0 0
"Satyaki Mahalanabis" 0 0 0 0 1 0
"Satyaki Sikdar" 1 0 0 0 0 0
"Satyam Agarwal" 0 0 0 1 0 0
"Satyam Mohla" 0 0 1 0 0 0
"Satyan R. Coorg" 0 0 3 0 0 0
"Satyan Rao" 1 0 0 0 0 0
"Satyanadh Gundimada" 0 0 1 0 0 0
"Satyananda Kashyap" 0 0 0 0 1 0
"Satyanarayana Reddy Janga" 1 0 0 0 0 0
"Satyanarayana V. Lokam" 0 0 0 0 0 2
"Satyavrat Wagle" 0 0 0 1 0 0
"Satyen Abrol" 1 0 0 0 0 0
"Satyen Kale" 0 1 0 0 33 9
"Sau Dan Lee" 6 1 0 0 0 0
"Saugat Majumdar" 0 0 0 1 0 0
"Saugat Mitra" 1 0 0 0 0 0
"Saul Fuhrmann" 2 0 0 0 0 0
"Saul Schleimer" 0 1 0 0 0 1
"Sauleh Eetemadi" 1 0 0 0 0 0
"Saulo D. S. Pedro" 2 0 0 0 0 0
"Saulo M. R. Ricci" 1 0 0 0 0 0
"Saumay Pushp" 0 0 0 4 0 0
"Saumitra M. Das" 2 0 0 5 0 0
"Saumitro Dasgupta" 0 0 1 0 0 0
"Saumya Jetley" 0 0 2 0 1 0
"Saumya Rawat" 0 0 1 0 0 0
"Sauptik Dhar" 0 0 0 0 1 0
"Saurab Dulal" 0 0 0 1 0 0
"Saurabh Agarwal" 0 0 0 0 1 0
"Saurabh Agrawal" 1 0 0 0 0 0
"Saurabh Bagchi" 0 0 0 4 1 0
"Saurabh Daptardar" 0 0 0 0 1 0
"Saurabh Deo" 0 0 0 1 0 0
"Saurabh Deshpande" 1 0 0 0 0 0
"Saurabh Ganeriwal" 0 0 0 1 0 0
"Saurabh Garg" 0 0 0 0 1 0
"Saurabh Goorha" 1 0 0 0 0 0
"Saurabh Goyal" 0 0 0 0 3 0
"Saurabh Gupta 0001" 0 0 11 0 2 0
"Saurabh Jha" 0 0 0 0 1 0
"Saurabh Kataria" 3 0 0 0 0 0
"Saurabh Kumar" 0 0 0 0 4 0
"Saurabh Nagrecha" 1 0 0 0 0 0
"Saurabh Nangia" 1 0 0 0 0 0
"Saurabh Panjwani" 0 0 0 0 0 2
"Saurabh Paul" 0 0 0 0 1 0
"Saurabh Raje" 0 0 0 0 1 0
"Saurabh Ray" 0 0 0 0 0 3
"Saurabh Sahni" 1 0 0 0 0 0
"Saurabh Sanghvi" 0 0 0 0 0 1
"Saurabh Sawlani" 1 1 0 0 2 4
"Saurabh Saxena" 0 0 0 0 1 0
"Saurabh Sethia" 0 0 0 0 0 1
"Saurabh Sharma" 0 0 2 0 0 0
"Saurabh Singh" 0 0 4 0 0 0
"Saurabh Singh 0005" 0 0 3 0 1 0
"Saurabh Sohoney" 1 0 0 0 0 0
"Saurabh Srivastava" 1 0 0 0 0 0
"Saurabh T." 0 0 0 0 1 0
"Saurabh Tewari" 0 0 0 1 0 0
"Saurabh Tiwary" 2 0 0 0 1 0
"Saurabh V. Pendse" 1 0 0 0 0 0
"Saurabh Verma" 2 0 0 2 1 0
"Saurajit Mukherjee" 0 0 1 0 1 0
"Saurav Das" 0 0 0 1 0 0
"Saurav Ghosh" 1 0 0 0 0 0
"Saurav Kadavath" 0 0 0 0 1 0
"Saurav Manchanda" 1 0 0 0 0 0
"Saurav Pandit" 1 0 0 0 0 0
"Saurav Sahay" 1 0 0 0 1 0
"Sauro Menchetti" 0 0 0 0 1 0
"Savaneary Sean" 2 0 0 0 0 0
"Saverio Ieva" 1 0 0 0 0 0
"Saverio Mascolo" 0 0 0 3 0 0
"Saverio Niccolini" 1 0 0 2 0 0
"Saverio Perugini" 1 0 0 0 0 0
"Saverio Salzo" 1 0 0 0 4 0
"Savina Andonova" 0 0 0 0 1 0
"Savita Bhat" 1 0 0 0 0 0
"Savitha Srinivasan" 3 0 1 0 0 0
"Savvas Damaskinos" 0 0 1 0 0 0
"Savvas Gitzenis" 0 0 0 3 0 0
"Savvas Karagiannidis" 1 0 0 0 0 0
"Savvas Kastanakis" 0 0 0 1 0 0
"Savvas Petridis" 0 0 0 1 0 0
"Savvas Zannettou" 2 0 0 3 0 0
"Sawin Lee" 1 0 0 0 0 0
"Sawon Pratiher" 1 0 0 0 0 0
"Sawsan Al Zahr" 0 0 0 1 0 0
"Sawyer B. Fuller" 0 0 0 1 0 0
"Sawyer Birnbaum" 0 0 0 0 1 0
"Sayak Ray Chowdhury" 0 0 0 0 2 0
"Sayali Kulkarni" 3 0 0 0 0 0
"Sayan Bandyapadhyay" 0 0 0 0 0 1
"Sayan Bhattacharya" 1 0 0 0 0 14
"Sayan Mandal" 0 0 0 0 0 1
"Sayan Mondal" 0 0 1 0 0 0
"Sayan Mukherjee 0001" 0 0 1 0 4 1
"Sayan Mukherjee 0004" 0 0 0 0 3 0
"Sayan Rakshit" 0 0 1 0 0 0
"Sayan Ranu" 10 5 0 1 1 0
"Sayan Sinha" 0 0 0 1 0 0
"Sayandeep Sen" 1 0 0 7 0 0
"Sayandev Mukherjee" 1 0 0 2 0 0
"Sayantan Choudhury" 0 0 0 1 0 0
"Sayed Amir Hoseini" 0 0 0 2 0 0
"Sayed Hossein Khatoonabadi" 0 0 1 0 0 0
"Sayed M. Saghaian N. E." 0 0 0 1 0 0
"Sayed Saad Afzal" 0 0 0 1 0 0
"Sayna Ebrahimi" 0 0 4 0 0 0
"Sbastien Ailleret" 0 1 0 0 0 0
"Sbastien Andler" 0 0 0 0 1 0
"Sbastien Barr" 0 0 0 2 0 0
"Sbastien Bouchard" 0 0 0 0 0 1
"Sbastien Bratires" 0 0 0 0 1 0
"Sbastien Bubeck" 0 0 0 0 33 9
"Sbastien Clerc" 0 0 1 0 0 0
"Sbastien Collette" 0 0 0 0 0 4
"Sbastien Desgent" 0 0 1 0 0 0
"Sbastien Ehrhardt" 0 0 1 0 2 0
"Sbastien Faye" 0 0 0 1 0 0
"Sbastien Ferenczi" 0 0 0 0 0 1
"Sbastien Gambs" 0 0 0 0 2 0
"Sbastien Gerchinovitz" 1 0 0 0 3 0
"Sbastien Gigure" 0 0 0 0 2 0
"Sbastien Giordano" 0 0 1 0 0 0
"Sbastien Gurif" 1 0 0 0 0 0
"Sbastien Henri" 0 0 0 1 0 0
"Sbastien Jodogne" 0 0 1 0 1 0
"Sbastien Lachapelle" 0 0 0 0 1 0
"Sbastien Lahaie" 4 0 0 0 4 0
"Sbastien Le Digabel" 0 0 0 0 1 0
"Sbastien Leprince" 0 0 0 0 1 0
"Sbastien M. R. Arnold" 0 0 0 0 1 0
"Sbastien Mahler" 1 0 0 0 0 0
"Sbastien Marmin" 0 0 0 0 1 0
"Sbastien Marti" 1 0 0 0 0 0
"Sbastien Martin" 0 0 0 1 0 0
"Sbastien Ourselin" 0 0 1 0 3 0
"Sbastien Paris" 1 0 0 0 0 0
"Sbastien Racanire" 0 0 0 0 5 0
"Sbastien Roch" 0 0 0 0 0 6
"Sbastien Rouault" 0 0 0 0 1 0
"Sbastien Roy 0001" 0 0 6 0 0 0
"Sbastien Tavenas" 0 0 0 0 0 2
"Sbastien Treguer" 0 0 0 0 2 0
"Sbastien Zimmer" 0 0 0 0 0 1
"Schrasing Tong" 0 0 0 0 1 0
"Scott A. Banachowski" 1 0 0 0 0 0
"Scott A. Brandt" 0 1 0 0 1 0
"Scott A. Hale" 1 0 0 0 0 0
"Scott A. Kuzdeba" 0 0 1 0 0 0
"Scott A. Skirlo" 0 0 0 0 1 0
"Scott A. Vander Wiel" 0 0 0 1 0 0
"Scott Aaronson" 0 0 0 0 1 21
"Scott Ainsworth" 1 0 0 1 0 0
"Scott Alcorn" 1 0 0 0 0 0
"Scott Alexander" 0 0 0 1 0 0
"Scott Alfeld" 1 0 0 0 1 0
"Scott Anderson" 0 0 0 1 0 0
"Scott Appling" 1 0 0 0 0 0
"Scott Backhaus" 1 0 0 0 0 0
"Scott Blackburn" 1 0 0 0 0 0
"Scott Brooks" 0 0 0 1 0 0
"Scott Burleigh" 0 0 0 3 0 0
"Scott C. Fears" 0 0 1 0 0 0
"Scott C. Miller" 0 0 0 2 0 0
"Scott C.-H. Huang" 0 0 0 4 0 0
"Scott Cameron" 0 0 0 0 1 0
"Scott Cohen" 0 0 24 0 1 0
"Scott Counts" 2 0 0 0 0 0
"Scott D. Brown" 0 0 0 0 1 0
"Scott Davies" 1 0 0 0 0 0
"Scott Deeann Chen" 1 0 0 0 0 0
"Scott Diehl" 0 0 0 0 0 1
"Scott Dugas" 0 1 0 0 0 0
"Scott Duke Kominers" 0 0 0 0 0 1
"Scott E. Reed" 0 0 3 0 10 0
"Scott Emmons" 0 0 0 0 1 0
"Scott Ettinger" 0 0 1 0 0 0
"Scott Evans" 2 0 0 0 0 0
"Scott F. Midkiff" 0 0 0 6 0 0
"Scott Fadden" 0 1 0 0 0 0
"Scott Freitas" 1 0 0 0 0 0
"Scott Fujimoto" 0 0 0 0 5 0
"Scott Gaffney" 5 0 0 0 1 0
"Scott Garrabrant" 0 0 0 0 0 1
"Scott Gigante" 0 0 0 0 1 0
"Scott Gray" 0 1 1 0 1 0
"Scott Haber" 0 0 1 0 0 0
"Scott Helmer" 0 0 1 0 0 0
"Scott Hollenbeck" 0 0 0 1 0 0
"Scott Hu" 0 0 0 0 2 0
"Scott Iekel-Johnson" 0 0 0 2 0 0
"Scott Imig" 1 0 0 0 0 0
"Scott Inglis" 1 0 0 0 0 0
"Scott Klasky" 1 0 0 0 0 0
"Scott Konishi" 0 0 2 0 0 0
"Scott Krieger" 1 0 0 0 0 0
"Scott Kuindersma" 0 0 0 0 1 0
"Scott Langevin" 1 0 0 0 0 0
"Scott Loarie" 0 0 1 0 0 0
"Scott Lundberg" 1 0 0 0 0 0
"Scott M. Jordan" 0 0 0 0 3 0
"Scott M. Lundberg" 0 0 0 0 2 0
"Scott M. Summers" 0 0 0 0 0 4
"Scott Makeig" 0 0 0 0 2 0
"Scott Mann" 0 0 0 1 0 0
"Scott Mardis" 0 0 0 0 1 0
"Scott McCallen" 1 0 0 0 0 0
"Scott McCloskey" 0 0 7 0 0 0
"Scott Meyer" 0 1 0 0 0 0
"Scott Morris 0001" 0 0 2 0 0 0
"Scott Nettles" 0 0 0 6 0 0
"Scott Niekum" 0 0 0 0 9 0
"Scott Pesme" 0 0 0 0 2 0
"Scott Pudlewski" 0 0 0 1 0 0
"Scott Reed" 0 0 1 0 0 0
"Scott Rickard" 1 0 0 0 1 0
"Scott Rickards" 0 1 0 0 0 0
"Scott Rixner" 2 0 0 0 0 0
"Scott Roy" 1 0 0 0 1 0
"Scott Sallinen" 0 0 0 0 1 0
"Scott Sanner" 6 0 0 0 7 0
"Scott Satkin" 0 0 1 0 0 0
"Scott Shenker" 0 6 0 61 0 4
"Scott Siebers" 0 0 1 0 0 0
"Scott Siegel" 0 0 1 0 0 0
"Scott Sievert" 0 0 0 0 1 0
"Scott Sirowy" 1 0 0 0 0 0
"Scott Sisson" 0 0 0 0 2 0
"Scott Skeen" 0 0 1 0 0 0
"Scott Soenen" 0 0 1 0 0 0
"Scott Sorensen" 0 0 4 0 0 0
"Scott Spurlock" 0 0 1 0 0 0
"Scott Stransky" 0 0 1 0 0 0
"Scott Sussex" 0 0 0 0 1 0
"Scott T. Grafton" 0 0 1 0 0 0
"Scott T. Leutenegger" 0 2 0 0 0 0
"Scott T. Roche" 0 0 0 0 0 1
"Scott Thayer" 0 0 0 0 1 0
"Scott Thiebes" 0 1 0 0 0 0
"Scott Trent" 1 0 0 0 0 0
"Scott Von Duhn" 0 0 1 0 0 0
"Scott W. Fancher" 1 0 0 0 0 0
"Scott W. Linderman" 0 0 0 0 12 0
"Scott Wehrwein" 0 0 2 0 0 0
"Scott Weinstein" 0 2 0 0 0 0
"Scott White" 1 0 0 0 0 0
"Scott Whyte" 0 0 0 2 0 0
"Scott Wilson" 1 0 0 0 0 0
"Scott Wisdom" 0 0 0 0 2 0
"Scott Workman" 0 0 9 0 0 0
"Scott Yang" 0 0 0 0 9 0
"Scott Yilek" 0 0 0 1 0 0
"Se June Hong" 2 0 0 0 0 0
"Se Jung Kwon" 0 0 1 0 1 0
"Se Young Chun" 0 0 9 0 2 0
"Se-Ho Lee" 0 0 1 0 0 0
"Se-Young Yun" 2 0 0 3 8 0
"Se-eun Yoon" 2 0 0 0 0 0
"Sean A. Ramprashad" 0 0 0 1 0 0
"Sean Abraham" 1 0 0 0 0 0
"Sean Bechhofer" 3 0 0 0 0 0
"Sean Bell" 1 0 3 0 0 0
"Sean Braithwaite" 0 0 0 1 0 0
"Sean C. Kelly" 1 0 0 0 0 0
"Sean C. Rhea" 1 1 0 2 0 0
"Sean Chester" 0 1 0 0 0 0
"Sean Choi" 0 0 0 3 0 0
"Sean Clark" 0 0 0 1 0 0
"Sean Cutler" 0 0 0 0 1 0
"Sean Dougherty" 0 0 1 0 0 0
"Sean F. Carroll" 1 0 0 0 0 0
"Sean F. Lawlor" 0 0 0 0 1 0
"Sean Gerrish" 0 0 0 0 5 0
"Sean Gilpin" 3 0 0 0 0 0
"Sean Goldberg" 0 1 0 0 0 0
"Sean Hallgren" 0 0 0 0 0 11
"Sean Hyde" 0 0 0 0 1 0
"Sean I. Young" 0 0 1 0 0 0
"Sean J. Taylor" 2 0 0 0 0 0
"Sean Jewell" 0 0 0 0 1 0
"Sean Kennedy" 0 0 0 1 0 0
"Sean Kulinski" 0 0 0 0 1 0
"Sean Lee" 0 0 1 0 0 0
"Sean M. Fitzhugh" 1 0 0 0 0 0
"Sean M. McNee" 1 0 0 0 0 0
"Sean M. O'Malley" 0 0 1 0 0 0
"Sean Ma" 0 0 0 0 0 1
"Sean MacAvaney" 2 0 0 0 0 0
"Sean Massung" 1 0 0 0 0 0
"Sean McRoskey" 1 0 0 0 0 0
"Sean Mcdonough" 1 0 0 0 0 0
"Sean Mckeough" 0 1 0 0 0 0
"Sean Moran" 0 0 1 0 0 0
"Sean O'Donnell" 1 0 0 0 0 0
"Sean O'Rourke" 0 0 0 0 1 0
"Sean P. Donovan" 0 0 0 2 0 0
"Sean P. Meyn" 0 0 0 0 4 0
"Sean Patrick Donovan" 0 0 0 3 0 0
"Sean Perkins" 0 0 0 0 1 0
"Sean R. Sinclair" 0 0 0 0 1 0
"Sean Rafferty" 0 0 1 0 0 0
"Sean Rhea" 0 1 0 0 0 0
"Sean Ryan Fanello" 0 0 8 0 0 0
"Sean Sanders" 0 0 0 1 0 0
"Sean Smart" 0 0 1 0 0 0
"Sean Smith" 0 0 0 1 0 0
"Sean Stromsten" 0 0 0 0 2 0
"Sean T. Yang" 2 0 0 0 0 0
"Sean Tan" 0 1 0 0 0 0
"Sean Welleck" 0 0 0 0 3 0
"Sean West" 1 0 0 0 0 0
"Seannie Dar" 0 0 0 0 0 1
"Seapahn Meguerdichian" 0 0 0 2 0 0
"Seb Boving" 0 0 0 1 0 0
"Seb Noury" 0 0 0 0 3 0
"Sebastiaan J. van Schaik" 1 1 0 0 0 0
"Sebastiaan Merino" 1 0 0 0 0 0
"Sebastian A. Henningsen" 0 0 0 2 0 0
"Sebastian A. Scherer" 0 0 0 0 2 0
"Sebastian Agethen" 0 0 1 0 0 0
"Sebastian Ament" 0 0 0 0 1 0
"Sebastian Angel" 0 0 0 1 0 0
"Sebastian Arnold 0001" 2 0 0 0 0 0
"Sebastian Bates" 1 0 0 0 0 0
"Sebastian Bauer" 0 0 1 0 0 0
"Sebastian Baur" 0 0 0 1 0 0
"Sebastian Ben Daniel" 0 0 0 0 0 1
"Sebastian Bickelhaupt" 0 0 0 0 1 0
"Sebastian Bischoff" 1 0 0 0 0 0
"Sebastian Blaes" 0 0 0 0 1 0
"Sebastian Borgeaud" 0 0 0 0 1 0
"Sebastian Bothe" 0 1 0 0 0 0
"Sebastian Brandt 0001" 0 1 0 0 0 0
"Sebastian Brandt 0002" 0 0 0 1 0 4
"Sebastian Bre" 0 6 0 0 0 0
"Sebastian Bruch" 2 0 0 0 0 0
"Sebastian Bttger" 0 1 0 0 0 0
"Sebastian Bu" 1 0 0 0 0 0
"Sebastian Buschjger" 1 0 0 0 0 0
"Sebastian Caro" 0 0 0 0 1 0
"Sebastian Casalaina-Martin" 0 0 0 0 1 0
"Sebastian Castro" 0 0 0 1 0 0
"Sebastian Claici" 0 0 0 0 5 0
"Sebastian Curi" 0 0 0 0 3 0
"Sebastian Dalleiger" 1 0 0 0 0 0
"Sebastian Damrich" 0 0 0 0 1 0
"Sebastian Dietzold" 2 0 0 0 0 0
"Sebastian Egger" 0 0 0 1 0 0
"Sebastian Egner" 0 0 0 0 0 1
"Sebastian Farquhar" 0 0 0 0 1 0
"Sebastian Faust" 0 0 0 0 0 2
"Sebastian Flennerhag" 0 0 0 0 1 0
"Sebastian Forster" 0 0 0 0 0 4
"Sebastian Fromenteau" 0 0 0 0 1 0
"Sebastian G. Elbaum" 1 0 0 1 0 0
"Sebastian Gallenmller" 0 0 0 1 0 0
"Sebastian Gehrmann" 0 0 0 0 1 0
"Sebastian Gerke" 1 0 0 0 0 0
"Sebastian Gerwinn" 0 0 0 0 5 0
"Sebastian Goebl" 5 0 0 0 0 0
"Sebastian Goldt" 0 0 0 0 1 0
"Sebastian Graf 0001" 1 0 0 0 0 0
"Sebastian H. R. Wurst" 1 0 0 0 0 0
"Sebastian Haas" 0 3 0 0 0 0
"Sebastian Haner" 0 0 2 0 0 0
"Sebastian Hegenbart" 0 0 1 0 0 0
"Sebastian Heil" 1 0 0 0 0 0
"Sebastian Hellmann" 7 0 0 0 0 0
"Sebastian Hfer" 0 0 1 0 0 0
"Sebastian Kaltwang" 0 0 1 0 0 0
"Sebastian Kay Belle" 1 0 0 1 0 0
"Sebastian Koch" 0 0 1 0 0 0
"Sebastian Krinninger" 0 0 0 0 0 13
"Sebastian Krott" 1 0 0 0 0 0
"Sebastian Kruse 0001" 0 2 0 0 0 0
"Sebastian Kuhnert" 0 0 0 0 0 1
"Sebastian Kurella" 0 0 0 0 1 0
"Sebastian Kurtek" 0 0 4 0 1 0
"Sebastian Lapuschkin" 0 0 1 0 0 0
"Sebastian Link" 0 5 0 0 0 0
"Sebastian Magda" 0 0 1 0 0 0
"Sebastian Mair 0001" 0 0 0 0 2 0
"Sebastian Maneth" 0 4 0 0 0 4
"Sebastian Merzbach" 0 0 1 0 0 0
"Sebastian Michel 0001" 1 10 0 0 0 0
"Sebastian Miele" 0 0 0 0 0 1
"Sebastian Mika" 0 0 0 0 8 0
"Sebastian Moosbauer" 0 0 2 0 0 0
"Sebastian Musslick" 0 0 0 0 1 0
"Sebastian N. Kurtek" 0 0 1 0 0 0
"Sebastian Neumaier" 2 0 0 0 0 0
"Sebastian Neumayer" 0 0 0 3 0 0
"Sebastian Nowozin" 1 0 14 0 20 0
"Sebastian Ordyniak" 0 0 0 0 1 1
"Sebastian Ott" 0 0 0 0 0 1
"Sebastian Palacio" 0 0 1 0 0 0
"Sebastian Pokutta" 0 0 0 0 11 7
"Sebastian Probst Eide" 0 0 0 1 0 0
"Sebastian R. Bader" 1 0 0 0 0 0
"Sebastian Ramos" 0 0 3 0 0 0
"Sebastian Raubach" 2 0 0 0 0 0
"Sebastian Richly" 0 1 0 0 0 0
"Sebastian Riedel 0001" 0 0 0 0 7 0
"Sebastian Rodriguez" 1 0 0 0 0 0
"Sebastian Ruder" 0 0 0 0 2 0
"Sebastian Rudolph" 1 2 0 0 0 0
"Sebastian Ryszard Kruk" 2 0 0 0 0 0
"Sebastian Schaffert" 5 1 0 0 0 0
"Sebastian Schellenberg" 0 0 0 1 0 0
"Sebastian Schelter" 1 8 0 0 0 0
"Sebastian Scherer" 0 0 2 0 0 0
"Sebastian Schildt" 0 0 0 6 0 0
"Sebastian Schindler" 0 1 0 0 0 0
"Sebastian Schmidt 0001" 2 0 0 0 0 0
"Sebastian Schr" 0 1 0 0 0 0
"Sebastian Schulze" 0 0 0 0 1 0
"Sebastian Schuon" 0 0 4 0 0 0
"Sebastian Seibert" 0 0 0 0 0 1
"Sebastian Siebertz" 0 0 0 0 0 6
"Sebastian Siikavirta" 0 0 0 1 0 0
"Sebastian Skritek" 1 4 0 0 0 0
"Sebastian Speiser" 1 0 0 0 0 0
"Sebastian Stein 0001" 0 0 0 1 0 0
"Sebastian Theuermann" 0 0 0 1 0 0
"Sebastian Thomschke" 1 0 0 0 0 0
"Sebastian Thrun" 0 1 11 0 20 0
"Sebastian Tramp" 1 0 0 0 0 0
"Sebastian Trapp" 0 0 0 2 0 0
"Sebastian Trimpe" 0 0 0 0 2 0
"Sebastian Troia" 0 0 0 1 0 0
"Sebastian Tschiatschek" 1 0 0 0 13 0
"Sebastian U. Stich" 0 0 0 0 12 0
"Sebastian Weiss" 0 0 1 0 0 0
"Sebastian Wicki" 0 0 0 1 0 0
"Sebastian Wiederrecht" 0 0 0 0 0 1
"Sebastian Wild" 0 0 0 0 0 1
"Sebastian Winczowski" 0 0 0 0 1 0
"Sebastian Wrede 0001" 0 0 1 0 0 0
"Sebastian Zander" 0 0 0 2 0 0
"Sebastiano Barbieri" 0 0 1 0 0 0
"Sebastiano Ferraris" 0 0 1 0 0 0
"Sebastiano Miano" 0 0 0 1 0 0
"Sebastiano Milardo" 0 0 0 5 0 0
"Sebastiano Vigna" 14 0 0 0 0 1
"Sebastien Ardon" 1 0 0 0 0 0
"Sebastien Blandin" 4 0 1 0 0 0
"Sebastien Paris" 0 0 0 0 1 0
"Sebastien Piat" 1 0 0 0 0 0
"Sebastien Roch" 0 0 0 0 0 1
"Sebastijan Dumancic" 0 0 0 0 1 0
"Sebastin Conca" 1 0 0 0 0 0
"Sebastin Ferrada" 1 0 0 0 0 0
"Sebastin Moreno" 6 0 0 0 0 0
"Sebastio Miranda" 1 0 0 0 0 0
"Sebnem Baydere" 0 0 0 1 0 0
"Sebu Koleth" 0 1 0 0 0 0
"Seby A." 1 0 0 0 0 0
"Secil Ugurel" 1 0 0 0 0 0
"Sedat Gokalp" 1 0 0 0 0 0
"Sedat Ozer" 0 0 1 0 1 0
"See-Kee Ng" 0 0 0 1 0 0
"See-Kiong Ng" 6 0 0 0 0 1
"Seema Gupta" 0 0 0 1 0 0
"Seema Nagar" 2 0 0 0 0 0
"Seema Sundara" 0 4 0 0 0 0
"Seeun Umboh" 0 0 0 0 0 2
"Seeun William Umboh" 0 0 0 0 0 5
"Sefi Albo" 1 0 0 0 0 0
"Sefi Bell-Kligler" 0 0 0 0 1 0
"Segev Wasserkrug" 1 1 0 0 0 0
"Sehee Chung" 2 0 0 0 0 0
"Sehun Yu" 1 0 0 0 0 0
"Sehwan Ki" 0 0 2 0 0 0
"Sehyun Bae" 0 0 0 1 0 0
"Sei-Wang Chen" 0 0 1 0 0 0
"Seif Haridi" 0 1 0 0 0 0
"Seigo Baba" 2 0 0 0 0 0
"Seiichi Koizumi" 0 1 0 0 0 0
"Seiichi Mita" 0 0 1 0 0 0
"Seiichiro Tani" 0 0 0 0 0 1
"Seiji Susaki" 1 0 0 0 0 0
"Seiji Takeda" 1 0 0 0 0 0
"Seiji Yamada" 4 0 0 0 0 0
"Seiji Yokoji" 1 0 0 0 0 0
"Seil Arslan" 0 0 1 0 0 0
"Seil Jeon" 0 0 0 2 0 0
"Sein Minn" 2 0 0 0 0 0
"Seinjuti Chakraborty" 1 0 0 0 0 0
"Seishi Okamoto" 0 0 0 0 1 0
"Seiya Tokui" 1 0 0 0 2 0
"Sejeong Kwon" 1 0 0 0 0 0
"Sejong Yang" 0 0 2 0 0 0
"Sejong Yoon" 0 0 0 0 1 0
"Sejun Park" 0 0 0 0 4 0
"Sejun Song" 0 0 0 2 0 0
"Sek M. Chai" 0 0 4 0 0 0
"Sekar Kulandaivel" 0 0 0 1 0 0
"Sekhar C. Tatikonda" 0 0 0 0 3 0
"Sekhar Tatikonda" 0 0 0 3 1 0
"Sekitoshi Kanai" 1 0 0 0 3 0
"Selasi Kwashie" 1 0 0 0 0 0
